id,name
Unknown,-Lånebiblioteket -The Taverns Of Tiefenthal
Unknown,-Säljs från Lånebiblioteket- HINT Junior (sv)
8308,3D Labyrinth
Unknown,7 Wonders 2nd Edition (sv)
331815,7 Wonders Architects (sv)
405924,AQUA (sv)
284082,Adventure Games: The Volcanic Island (en)
314088,Agropolis
357563,Akropolis (sv)
430461,Allmoge
283393,Aquatica
140934,Arboretum
390163,Avant Carde
256226,Azul: Stained Glass of Sintra
Unknown,BOOoop. / Boop.
20871,Babylonia
Unknown,Backgammon Medium Green (1732)
386761,Balloon Pop (sv)
244909,Bermuda Pirates
32441,Bezzerwizzer (sv)
337617,Bezzerwizzer Timeline
277927,Bites
224517,Brass Birmingham
275913,Bruxelles 1897
283155,Calico
295947,Cascadia
134277,Catan (eng)
134277,Catan (sv)
184842,Catan Junior (sv)
218129,Catch the Moon (en)
209685,Century: Spice Road (sv)
59969,Ceylon
Unknown,Chess/Schack (2706)
239188,Chronicles of Crime
478,Citadels (Revised)
369483,Cluedo: Svek på Swartwiks herrgård
224037,Codenames Duet
377061,Coffee Rush (sv)
147151,Concept
269595,Copenhagen (sv)
1653,Coup (eng)
137167,Det borde man ju veta!
39856,Dixit
395364,Dorfromantik: The Duel
300010,Dragomino
146227,DubbelYatzy
295577,Dungeon Mayhem: Monster Madness
380656,Döttrar & Söner
146021,Eldritch Horror
199792,Everdell (sv)
Unknown,Exit Kids: Gåtornas Djungel
Unknown,Exploding Kittens - Original Edition
Unknown,Famous Women Trivia Quiz
199478,Flamme Rouge
395256,Flamme Rouge BMX (sv)
291550,Foto Fish
318084,Furnace
31481,Galaxy Trucker
356999,Gateway Island
252752,Genotype
329873,Grove: 9 Card Solitaire Game
367771,Gå på Plankan (sv)
286749,Hansa Teutonica Big Box
414317,Harmonies
245200,Heckmeck Deluxe
369436,HerStory
299252,Here to Slay
165628,Hint Go (sv)
371333,Hissy Fit
154597,Hive Pocket (Gen42 only Edition)
284742,Honey Buzz
367498,Horizons of Spirit Island
282524,Horrified
125083,Idiotkunskap
191894,Imagine
7563,Jaws
377793,Jekyll & Hyde vs Scotland Yard
193621,Joking Hazard
180694,Just one (eng)
241477,Karak
277458,Kluster
420073,Kurragömma i Safariparken
Unknown,Kurragömma på Bondgården
336929,Land Vs Sea
368676,Leaf
361905,Lofoten
Unknown,London 2nd Edition
295374,Long Shot The Dice Game
50,Lost Cities
2991,Mandala
148729,Maquis
403265,Marabunta
346501,Mille Fiori
311715,Mini Rogue
339703,Mio: Brädspelet
283151,Monikers Classic (eng)
373759,Monolyth
329551,Mosaic A Story of Civilization
1927,Munchkin Deluxe
3305,Myretuen (Myrstacken)
376472,Noobs in Space
365429,Nåt Ska Bort
12942,Oh S#!? (Oh Shit/ No Thanks!)
319910,Pagan: Fate of Roanoke
Unknown,Pandemic Hot Zone - Europe (sv)
168325,Perspectives
218603,Photosynthesis
252929,Planet
368017,Point City
401779,Port Royal: The Dice Game
2651,Power Grid Recharged (2nd Edition)
25088,På 5 sekunder
368465,Qawale
Unknown,Quiznödig - Hemma
Unknown,Quiznödig - På Festen
28143,Race for the Galaxy
329082,Radlands
227224,Red Cathedral
329465,Red Rising
91514,Rhino Hero
26681,Scout
367220,Sea Salt & Paper
2375,Sequence
Unknown,Set: The Family Game of Visual Perception
161730,Setup (sv)
396607,Sheriff Of Nottingham (sv)
250779,Sherlock: Death on The 4th of July
247436,Sherlock: The Tomb of The Archaeologist
387538,Side Quest: Nemesis
375616,Sirens
398684,Skyrockets Festivals of Fire
17053,Sleeping Queens
332944,Sobek: 2 Players
364073,Splendor Duel (sv)
16324,Spots
Unknown,Star Realms Deckbuilding Game
Unknown,TEAM3 - Pink
341876,Taco Back Goat Cheese Pizza (sv + en)
70919,Takenoko
20022,Terra Nova
167791,Terraforming Mars
326494,The Adventures of Robin Hood (en)
221965,The Fox in the Forest
350933,The Guild of Merchant Explorers
319966,The King Is Dead: Second Edition
379005,The Lord of the Rings Adventure Book Game
331106,The Witcher: Old World (SV)
14996,Ticket to Ride: Europe
351913,Tiletum
213460,Unlock! Escape Adventures (eng)
213460,Unlock! Escape Adventures (sv)
327056,Unlock! Kids: Detective Stories (sv)
274637,Unmatched Battle Of Legends Volume One
284778,Unmatched Jurassic Park; Dr. Sattler vs. T. Rex
383467,Unmatched: Brains and Brawn
32824,Votes For Women
249259,War Chest
262543,Wavelength (sv + eng)
Unknown,What Do You Meme? Recently Refreshed
318560,Witchstone
365258,World Wonders
Unknown,Årtalsmästarna
